symbol,name
BBCA,BBCA
BREN,BREN
DCII,DCII
BBRI,BBRI
BMRI,BMRI
BYAN,BYAN
TLKM,TLKM
AMMN,AMMN
ASII,ASII
SRAJ,SRAJ
DNET,DNET
BRPT,BRPT
MORA,MORA
SMMA,SMMA
BBNI,BBNI
TPIA,TPIA
EMAS,EMAS
PANI,PANI
BNLI,BNLI
DSSA,DSSA
MPRO,MPRO
IMPC,IMPC
BRIS,BRIS
CDIA,CDIA
UNTR,UNTR
CUAN,CUAN
ICBP,ICBP
CASA,CASA
HMSP,HMSP
BRMS,BRMS
ANTM,ANTM
ADRO,ADRO
MDKA,MDKA
ISAT,ISAT
UNVR,UNVR
AADI,AADI
ADMR,ADMR
CPIN,CPIN
INDF,INDF
GOTO,GOTO
BUMI,BUMI
AMRT,AMRT
SUPR,SUPR
NCKL,NCKL
EXCL,EXCL
INCO,INCO
MBMA,MBMA
TCPI,TCPI
MEGA,MEGA
BDMN,BDMN
BELI,BELI
MTEL,MTEL
BNGA,BNGA
MYOR,MYOR
PGAS,PGAS
PTRO,PTRO
INKP,INKP
PGUN,PGUN
GEMS,GEMS
PGEO,PGEO
CMRY,CMRY
TBIG,TBIG
MSIN,MSIN
EMTK,EMTK
ENRG,ENRG
KLBF,KLBF
PTBA,PTBA
MEDC,MEDC
SILO,SILO
GGRM,GGRM
TAPG,TAPG
NISP,NISP
VKTR,VKTR
MLPT,MLPT
ARCI,ARCI
FAPA,FAPA
MAPI,MAPI
ITMG,ITMG
AKRA,AKRA
BINA,BINA
SUPA,SUPA
TINS,TINS
BTPN,BTPN
JPFA,JPFA
MIKA,MIKA
MDIY,MDIY
GIAA,GIAA
MKPI,MKPI
PNBN,PNBN
JSMR,JSMR
FILM,FILM
TOWR,TOWR
BBHI,BBHI
SRTG,SRTG
CBDK,CBDK
AVIA,AVIA
XSPI,XSPI
MAPA,MAPA
BBTN,BBTN
BNBR,BNBR
MGLV,MGLV
BUVA,BUVA
TKIM,TKIM
BSIM,BSIM
SOHO,SOHO
BBSI,BBSI
BNII,BNII
JRPT,JRPT
FASW,FASW
ULTJ,ULTJ
INTP,INTP
CMNT,CMNT
PSAB,PSAB
RISE,RISE
CARE,CARE
ARTO,ARTO
PWON,PWON
ARKO,ARKO
MCOL,MCOL
ADES,ADES
STTP,STTP
MLBI,MLBI
RAJA,RAJA
AALI,AALI
SCMA,SCMA
HEAL,HEAL
LIFE,LIFE
SMAR,SMAR
DSNG,DSNG
JARR,JARR
ALII,ALII
AUTO,AUTO
BSDE,BSDE
GOOD,GOOD
IBST,IBST
CITA,CITA
RATU,RATU
POWR,POWR
TSPC,TSPC
SIDO,SIDO
DEWA,DEWA
YUPI,YUPI
SMGR,SMGR
INDY,INDY
HRTA,HRTA
CTRA,CTRA
BUKA,BUKA
BSSR,BSSR
ESSA,ESSA
COIN,COIN
STAA,STAA
NSSS,NSSS
ADMF,ADMF
PRAY,PRAY
BBKP,BBKP
BKSL,BKSL
EDGE,EDGE
MIDI,MIDI
SMSM,SMSM
BFIN,BFIN
RMKE,RMKE
HRUM,HRUM
CMNP,CMNP
PLIN,PLIN
BIPI,BIPI
BMAS,BMAS
INPP,INPP
CLEO,CLEO
ELPI,ELPI
KPIG,KPIG
WIKA,WIKA
SIMP,SIMP
AGII,AGII
BBMD,BBMD
LSIP,LSIP
BJBR,BJBR
RLCO,RLCO
WIFI,WIFI
DUTI,DUTI
BJTM,BJTM
CYBR,CYBR
PACK,PACK
CNMA,CNMA
SSIA,SSIA
CLAY,CLAY
DMAS,DMAS
SMCB,SMCB
POLU,POLU
SSMS,SSMS
BTPS,BTPS
TMAS,TMAS
PNLF,PNLF
GMFI,GMFI
ABMM,ABMM
EPMT,EPMT
MTDL,MTDL
TLDN,TLDN
APIC,APIC
WBSA,WBSA
FORE,FORE
ACES,ACES
SMMT,SMMT
DMND,DMND
BHAT,BHAT
YULE,YULE
BSWD,BSWD
ERAA,ERAA
OMED,OMED
CTBN,CTBN
SAME,SAME
NICL,NICL
PALM,PALM
UNIC,UNIC
MPMX,MPMX
ANJT,ANJT
MASB,MASB
BULL,BULL
DRMA,DRMA
BALI,BALI
NATO,NATO
BPII,BPII
SINI,SINI
RDTX,RDTX
SMRA,SMRA
SGRO,SGRO
LPKR,LPKR
SMDR,SMDR
SURE,SURE
MSTI,MSTI
ELSA,ELSA
TGKA,TGKA
SHIP,SHIP
JTPE,JTPE
MBSS,MBSS
MTLA,MTLA
TUGU,TUGU
INET,INET
SGER,SGER
DAAZ,DAAZ
CASS,CASS
BIRD,BIRD
GJTL,GJTL
MMIX,MMIX
PBID,PBID
HEXA,HEXA
AGRO,AGRO
KRAS,KRAS
TOTL,TOTL
PSGO,PSGO
MKAP,MKAP
TRIM,TRIM
GGRP,GGRP
VICI,VICI
AMAR,AMAR
TBLA,TBLA
BOGA,BOGA
KEJU,KEJU
LPPF,LPPF
BANK,BANK
NOBU,NOBU
EURO,EURO
IMAS,IMAS
LINK,LINK
PKPK,PKPK
NIRO,NIRO
VISI,VISI
DKFT,DKFT
FISH,FISH
MAPB,MAPB
CBRE,CBRE
SDRA,SDRA
ROTI,ROTI
BESS,BESS
MARK,MARK
APLN,APLN
CPRO,CPRO
OMRE,OMRE
WIIM,WIIM
KEEN,KEEN
TFCO,TFCO
ARNA,ARNA
BBYB,BBYB
TOBA,TOBA
ISSP,ISSP
AGRS,AGRS
JSPT,JSPT
SAMF,SAMF
PNIN,PNIN
