symbol,name
BBCA,Bank Central Asia Tbk
BBRI,Bank Rakyat Indonesia Tbk
BMRI,Bank Mandiri Tbk
BBNI,Bank Negara Indonesia Tbk
BRIS,Bank Syariah Indonesia Tbk
BNLI,Bank Permata Tbk
MEGA,Bank Mega Tbk
BDMN,Bank Danamon Indonesia Tbk
BNGA,Bank CIMB Niaga Tbk
NISP,Bank OCBC NISP Tbk
BTPN,Bank BTPN Tbk
PNBN,Bank Pan Indonesia Tbk
BBTN,Bank Tabungan Negara Tbk
BBHI,Allo Bank Indonesia Tbk
BBSI,Bank Bisnis Internasional Tbk
BNII,Bank Maybank Indonesia Tbk
BBKP,Bank KB Bukopin Tbk
BMAS,Bank Maspion Indonesia Tbk
BBMD,Bank Mestika Dharma Tbk
BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk
BTPS,Bank BTPN Syariah Tbk
BANK,Bank Aladin Syariah Tbk
NOBU,Bank Nationalnobu Tbk
BBYB,Bank Neo Commerce Tbk
AGRS,Bank IBK Indonesia Tbk
AMAR,Bank Amar Indonesia Tbk
SDRA,Bank Woori Saudara Indonesia 1906 Tbk
AGRO,Bank Raya Indonesia Tbk
ARTO,Bank Jago Tbk

