symbol,name
UNVR,Unilever Indonesia Tbk
ICBP,Indofood CBP Sukses Makmur Tbk
INDF,Indofood Sukses Makmur Tbk
CPIN,Charoen Pokphand Indonesia Tbk
JPFA,Japfa Comfeed Indonesia Tbk
MYOR,Mayora Indah Tbk
CMRY,Cisarua Mountain Dairy Tbk
GGRM,Gudang Garam Tbk
HMSP,Hanjaya Mandala Sampoerna Tbk
AMRT,Sumber Alfaria Trijaya Tbk
KLBF,Kalbe Farma Tbk
SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk
ULTJ,Ultra Jaya Milk Industry Tbk
STTP,Siantar Top Tbk
MLBI,Multi Bintang Indonesia Tbk
GOOD,Garudafood Putra Putri Jaya Tbk
TSPC,Tempo Scan Pacific Tbk
CLEO,Sariguna Primatirta Tbk
ROTI,Nippon Indosari Corpindo Tbk
WIIM,Wismilak Inti Makmur Tbk
KEJU,Mulia Boga Raya Tbk
YUPI,Yupi Indo Jelly Gum Tbk
DMND,Diamond Food Indonesia Tbk
TAPG,Triputra Agro Persada Tbk
AALI,Astra Agro Lestari Tbk
LSIP,PP London Sumatra Indonesia Tbk
DSNG,Dharma Satya Nusantara Tbk
SSMS,Sawit Sumbermas Sarana Tbk

