symbol,name
BYAN,Bayan Resources Tbk
ADRO,Adaro Energy Indonesia Tbk
AADI,Adaro Andalan Indonesia Tbk
ADMR,Adaro Minerals Indonesia Tbk
PTBA,Bukit Asam Tbk
PGAS,Perusahaan Gas Negara Tbk
MEDC,Medco Energi Internasional Tbk
ITMG,Indo Tambangraya Megah Tbk
HRUM,Harum Energy Tbk
ENRG,Energi Mega Persada Tbk
PTRO,Petrosea Tbk
PGEO,Pertamina Geothermal Energy Tbk
GEMS,Golden Energy Mines Tbk
BSSR,Baramulti Suksessarana Tbk
ESSA,ESSA Industries Indonesia Tbk
BUMI,Bumi Resources Tbk
INDY,Indika Energy Tbk
RMKE,RMK Energy Tbk
ABMM,ABM Investama Tbk
MBSS,Mitrabahtera Segara Sejati Tbk
ELPI,Pelayaran Nasional Ekalya Purnamasari Tbk
ELSA,Elnusa Tbk
TOBA,TBS Energi Utama Tbk
BIPI,Astrindo Nusantara Infrastruktur Tbk
DEWA,Darma Henwa Tbk
TLDN,Teladan Prima Agro Tbk

