symbol,name
BBCA,Bank Central Asia Tbk
BBRI,Bank Rakyat Indonesia Tbk
BMRI,Bank Mandiri Tbk
BBNI,Bank Negara Indonesia Tbk
ASII,Astra International Tbk
TLKM,Telkom Indonesia Tbk
UNTR,United Tractors Tbk
KLBF,Kalbe Farma Tbk
MIKA,Mitra Keluarga Karyasehat Tbk
INDF,Indofood Sukses Makmur Tbk
ICBP,Indofood CBP Sukses Makmur Tbk
PGAS,Perusahaan Gas Negara Tbk
JSMR,Jasa Marga Tbk
BFIN,BFI Finance Indonesia Tbk
TOWR,Sarana Menara Nusantara Tbk
MTEL,Dayamitra Telekomunikasi Tbk
HEAL,Medikaloka Hermina Tbk
SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk
AKRA,AKR Corporindo Tbk
EXCL,XL Axiata Tbk
ISAT,Indosat Tbk
AMRT,Sumber Alfaria Trijaya Tbk
MAPI,Mitra Adiperkasa Tbk
MAPA,Map Aktif Adiperkasa Tbk
ACES,Aspirasi Hidup Indonesia Tbk

