symbol,name
ADRO,Adaro Energy Indonesia Tbk
PTBA,Bukit Asam Tbk
ITMG,Indo Tambangraya Megah Tbk
UNTR,United Tractors Tbk
ASII,Astra International Tbk
BMRI,Bank Mandiri Tbk
BBRI,Bank Rakyat Indonesia Tbk
BBCA,Bank Central Asia Tbk
BBNI,Bank Negara Indonesia Tbk
TLKM,Telkom Indonesia Tbk
HMSP,Hanjaya Mandala Sampoerna Tbk
GGRM,Gudang Garam Tbk
INDF,Indofood Sukses Makmur Tbk
ICBP,Indofood CBP Sukses Makmur Tbk
INTP,Indocement Tunggal Prakarsa Tbk
SMGR,Semen Indonesia Tbk
PGAS,Perusahaan Gas Negara Tbk
ADMF,Adira Dinamika Multi Finance Tbk
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk
BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk

