symbol,name
BBCA,Bank Central Asia Tbk
BBRI,Bank Rakyat Indonesia Tbk
BMRI,Bank Mandiri Tbk
BBNI,Bank Negara Indonesia Tbk
TLKM,Telkom Indonesia Tbk
ASII,Astra International Tbk
UNTR,United Tractors Tbk
ICBP,Indofood CBP Sukses Makmur Tbk
INDF,Indofood Sukses Makmur Tbk
ANTM,Aneka Tambang Tbk
ADRO,Adaro Energy Indonesia Tbk
PTBA,Bukit Asam Tbk
MDKA,Merdeka Copper Gold Tbk
INCO,Vale Indonesia Tbk
BRPT,Barito Pacific Tbk
TPIA,Chandra Asri Pacific Tbk
AMMN,Amman Mineral Internasional Tbk
BREN,Barito Renewables Energy Tbk
GOTO,GoTo Gojek Tokopedia Tbk
CPIN,Charoen Pokphand Indonesia Tbk
JPFA,Japfa Comfeed Indonesia Tbk
MAPI,Mitra Adiperkasa Tbk
KLBF,Kalbe Farma Tbk
EXCL,XL Axiata Tbk
ISAT,Indosat Tbk
MEDC,Medco Energi Internasional Tbk
PGAS,Perusahaan Gas Negara Tbk
AKRA,AKR Corporindo Tbk
SMGR,Semen Indonesia Tbk
INTP,Indocement Tunggal Prakarsa Tbk

