symbol,name
ADRO,Adaro Energy Indonesia Tbk
AKRA,AKR Corporindo Tbk
ANTM,Aneka Tambang Tbk
ASII,Astra International Tbk
BRIS,Bank Syariah Indonesia Tbk
BRMS,Bumi Resources Minerals Tbk
CPIN,Charoen Pokphand Indonesia Tbk
EXCL,XL Axiata Tbk
ICBP,Indofood CBP Sukses Makmur Tbk
INCO,Vale Indonesia Tbk
INDF,Indofood Sukses Makmur Tbk
INKP,Indah Kiat Pulp and Paper Tbk
INTP,Indocement Tunggal Prakarsa Tbk
ISAT,Indosat Tbk
ITMG,Indo Tambangraya Megah Tbk
JPFA,Japfa Comfeed Indonesia Tbk
KLBF,Kalbe Farma Tbk
MDKA,Merdeka Copper Gold Tbk
MEDC,Medco Energi Internasional Tbk
PGAS,Perusahaan Gas Negara Tbk
PTBA,Bukit Asam Tbk
SMGR,Semen Indonesia Tbk
TLKM,Telkom Indonesia Tbk
TPIA,Chandra Asri Pacific Tbk
UNTR,United Tractors Tbk
UNVR,Unilever Indonesia Tbk
ACES,Aspirasi Hidup Indonesia Tbk
SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk
MAPI,Mitra Adiperkasa Tbk
MAPA,Map Aktif Adiperkasa Tbk

