symbol,name
BBCA,Bank Central Asia Tbk
BREN,Barito Renewables Energy Tbk
BBRI,Bank Rakyat Indonesia Tbk
BMRI,Bank Mandiri Tbk
BYAN,Bayan Resources Tbk
TLKM,Telkom Indonesia Tbk
AMMN,Amman Mineral Internasional Tbk
ASII,Astra International Tbk
BRPT,Barito Pacific Tbk
BBNI,Bank Negara Indonesia Tbk
TPIA,Chandra Asri Pacific Tbk
BRIS,Bank Syariah Indonesia Tbk
UNTR,United Tractors Tbk
CUAN,Petrindo Jaya Kreasi Tbk
ICBP,Indofood CBP Sukses Makmur Tbk
HMSP,Hanjaya Mandala Sampoerna Tbk
BRMS,Bumi Resources Minerals Tbk
ANTM,Aneka Tambang Tbk
ADRO,Adaro Energy Indonesia Tbk
MDKA,Merdeka Copper Gold Tbk
ISAT,Indosat Tbk
UNVR,Unilever Indonesia Tbk
ADMR,Adaro Minerals Indonesia Tbk
CPIN,Charoen Pokphand Indonesia Tbk
INDF,Indofood Sukses Makmur Tbk
GOTO,GoTo Gojek Tokopedia Tbk
BUMI,Bumi Resources Tbk
AMRT,Sumber Alfaria Trijaya Tbk
NCKL,Trimegah Bangun Persada Tbk
EXCL,XL Axiata Tbk
INCO,Vale Indonesia Tbk
MBMA,Merdeka Battery Materials Tbk
BDMN,Bank Danamon Indonesia Tbk
BELI,Global Digital Niaga Tbk
MTEL,Dayamitra Telekomunikasi Tbk
BNGA,Bank CIMB Niaga Tbk
MYOR,Mayora Indah Tbk
PGAS,Perusahaan Gas Negara Tbk
PTRO,Petrosea Tbk
INKP,Indah Kiat Pulp and Paper Tbk
GEMS,Golden Energy Mines Tbk
PGEO,Pertamina Geothermal Energy Tbk
CMRY,Cisarua Mountain Dairy Tbk
TBIG,Tower Bersama Infrastructure Tbk
MSIN,MNC Digital Entertainment Tbk
EMTK,Elang Mahkota Teknologi Tbk
KLBF,Kalbe Farma Tbk
PTBA,Bukit Asam Tbk
MEDC,Medco Energi Internasional Tbk
SILO,Siloam International Hospitals Tbk
GGRM,Gudang Garam Tbk
TAPG,Triputra Agro Persada Tbk
NISP,Bank OCBC NISP Tbk
VKTR,VKTR Teknologi Mobilitas Tbk
MLPT,Multipolar Technology Tbk
ARCI,Archi Indonesia Tbk
MAPI,Mitra Adiperkasa Tbk
ITMG,Indo Tambangraya Megah Tbk
AKRA,AKR Corporindo Tbk
TINS,Timah Tbk
BTPN,Bank BTPN Tbk
JPFA,Japfa Comfeed Indonesia Tbk
MIKA,Mitra Keluarga Karyasehat Tbk
JSMR,Jasa Marga Tbk
TOWR,Sarana Menara Nusantara Tbk
BBHI,Allo Bank Indonesia Tbk
SRTG,Saratoga Investama Sedaya Tbk
AVIA,Avia Avian Tbk
MAPA,Map Aktif Adiperkasa Tbk
BBTN,Bank Tabungan Negara Tbk
TKIM,Pabrik Kertas Tjiwi Kimia Tbk
JRPT,Jaya Real Property Tbk
ULTJ,Ultra Jaya Milk Industry Tbk
INTP,Indocement Tunggal Prakarsa Tbk
PSAB,J Resources Asia Pasifik Tbk
ARTO,Bank Jago Tbk
PWON,Pakuwon Jati Tbk
MCOL,Prima Andalan Mandiri Tbk
ADES,Akasha Wira International Tbk
RAJA,Rukun Raharja Tbk
AALI,Astra Agro Lestari Tbk
SCMA,Surya Citra Media Tbk
HEAL,Medikaloka Hermina Tbk
AUTO,Astra Otoparts Tbk
BSDE,Bumi Serpong Damai Tbk
GOOD,Garudafood Putra Putri Jaya Tbk
TSPC,Tempo Scan Pacific Tbk
SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk
SMGR,Semen Indonesia Tbk
INDY,Indika Energy Tbk
CTRA,Ciputra Development Tbk
BUKA,Bukalapak.com Tbk
BSSR,Baramulti Suksessarana Tbk
ESSA,ESSA Industries Indonesia Tbk
MIDI,Midi Utama Indonesia Tbk
SMSM,Selamat Sempurna Tbk
BFIN,BFI Finance Indonesia Tbk
RMKE,RMK Energy Tbk
HRUM,Harum Energy Tbk
ELSA,Elnusa Tbk

