symbol,name
BBCA,Bank Central Asia Tbk
BBRI,Bank Rakyat Indonesia Tbk
BMRI,Bank Mandiri Tbk
BBNI,Bank Negara Indonesia Tbk
BRIS,Bank Syariah Indonesia Tbk
TLKM,Telkom Indonesia Tbk
ASII,Astra International Tbk
UNTR,United Tractors Tbk
ICBP,Indofood CBP Sukses Makmur Tbk
INDF,Indofood Sukses Makmur Tbk
ANTM,Aneka Tambang Tbk
ADRO,Adaro Energy Indonesia Tbk
PTBA,Bukit Asam Tbk
MDKA,Merdeka Copper Gold Tbk
INCO,Vale Indonesia Tbk
BRPT,Barito Pacific Tbk
TPIA,Chandra Asri Pacific Tbk
AMMN,Amman Mineral Internasional Tbk
BREN,Barito Renewables Energy Tbk
GOTO,GoTo Gojek Tokopedia Tbk
CPIN,Charoen Pokphand Indonesia Tbk
JPFA,Japfa Comfeed Indonesia Tbk
MAPI,Mitra Adiperkasa Tbk
MAPA,Map Aktif Adiperkasa Tbk
KLBF,Kalbe Farma Tbk
MIKA,Mitra Keluarga Karyasehat Tbk
EXCL,XL Axiata Tbk
ISAT,Indosat Tbk
MEDC,Medco Energi Internasional Tbk
PGAS,Perusahaan Gas Negara Tbk
TINS,Timah Tbk
HRUM,Harum Energy Tbk
ITMG,Indo Tambangraya Megah Tbk
AKRA,AKR Corporindo Tbk
SMGR,Semen Indonesia Tbk
INTP,Indocement Tunggal Prakarsa Tbk
BUKA,Bukalapak.com Tbk
ESSA,ESSA Industries Indonesia Tbk
BRMS,Bumi Resources Minerals Tbk
BUMI,Bumi Resources Tbk
NCKL,Trimegah Bangun Persada Tbk
MBMA,Merdeka Battery Materials Tbk
SRTG,Saratoga Investama Sedaya Tbk
AMRT,Sumber Alfaria Trijaya Tbk
JSMR,Jasa Marga Tbk

