symbol,name
AMMN,Amman Mineral Internasional Tbk
ANTM,Aneka Tambang Tbk
MDKA,Merdeka Copper Gold Tbk
INCO,Vale Indonesia Tbk
NCKL,Trimegah Bangun Persada Tbk
MBMA,Merdeka Battery Materials Tbk
TINS,Timah Tbk
BRMS,Bumi Resources Minerals Tbk
ARCI,Archi Indonesia Tbk
PSAB,J Resources Asia Pasifik Tbk
CITA,Cita Mineral Investindo Tbk
DKFT,Central Omega Resources Tbk
NICL,PAM Mineral Tbk
HRTA,Hartadinata Abadi Tbk
CUAN,Petrindo Jaya Kreasi Tbk
RATU,Rahmat Alam Semesta Tbk
GGRP,Gunung Raja Paksi Tbk
KRAS,Krakatau Steel Tbk
