symbol,name
PANI,Pantai Indah Kapuk Dua Tbk
BSDE,Bumi Serpong Damai Tbk
PWON,Pakuwon Jati Tbk
CTRA,Ciputra Development Tbk
SMRA,Summarecon Agung Tbk
LPKR,Lippo Karawaci Tbk
LPCK,Lippo Cikarang Tbk
DMAS,Puradelta Lestari Tbk
MKPI,Metropolitan Kentjana Tbk
JRPT,Jaya Real Property Tbk
DUTI,Duta Pertiwi Tbk
MTLA,Metropolitan Land Tbk
APLN,Agung Podomoro Land Tbk
RDTX,Roda Vivatex Tbk
CBDK,Bangkit Karya Bersama Tbk
NIRO,City Retail Developments Tbk
INPP,Indonesian Paradise Property Tbk
PLIN,Plaza Indonesia Realty Tbk
BUVA,Bukit Uluwatu Villa Tbk

